Sample  Sampling_time   Sampling_station
DH1 2007.4  I
DH2 2007.4  II
DH3 2007.4  III
DH4 2007.4  IV
DH5 2007.4  V
DH6 2007.7  I
DH7 2007.7  II
DH8 2007.7  III
DH9 2007.7  IV
DH10    2007.7  V
DH11    2007.1  I
DH12    2007.1  II
DH13    2007.1  III
DH14    2007.1  IV
DH15    2007.1  V
DH16    2008.1  I
DH17    2008.1  II
DH18    2008.1  III
DH19    2008.1  IV
DH20    2008.1  V
DH21    2008.7  I
DH22    2008.7  II
DH23    2008.7  III
DH24    2008.7  IV
DH25    2008.7  V
DH106   2009.1  I
DH107   2009.1  II
DH108   2009.1  III
DH109   2009.1  IV
DH110   2009.1  V
DH111   2009.4  I
DH112   2009.4  II
DH113   2009.4  III
DH114   2009.4  IV
DH115   2009.4  V
DH26    2009.7  I
DH27    2009.7  II
DH28    2009.7  III
DH29    2009.7  IV
DH30    2009.7  V
DH31    2009.1  I
DH32    2009.1  II
DH33    2009.1  III
DH34    2009.1  IV
DH35    2009.1  V
DH36    2010.1  I
DH37    2010.1  II
DH38    2010.1  III
DH39    2010.1  IV
DH40    2010.1  V
DH41    2010.4  I
DH42    2010.4  II
DH43    2010.4  III
DH44    2010.4  IV
DH45    2010.4  V
DH46    2010.7  I
DH47    2010.7  II
DH48    2010.7  III
DH49    2010.7  IV
DH50    2010.7  V
DH51    2010.1  I
DH52    2010.1  II
DH53    2010.1  III
DH54    2010.1  IV
DH55    2010.1  V
DH56    2011.4  I
DH57    2011.4  II
DH58    2011.4  III
DH59    2011.4  IV
DH60    2011.4  V
DH61    2011.7  I
DH62    2011.7  II
DH63    2011.7  III
DH64    2011.7  IV
DH65    2011.7  V
DH66    2011.1  I
DH67    2011.1  II
DH68    2011.1  III
DH69    2011.1  IV
DH70    2011.1  V
DH71    2012.1  I
DH72    2012.1  II
DH73    2012.1  III
DH74    2012.1  IV
DH75    2012.1  V
DH76    2012.4  I
DH77    2012.4  II
DH78    2012.4  III
DH79    2012.4  IV
DH80    2012.4  V
DH81    2012.7  I
DH82    2012.7  II
DH83    2012.7  III
DH84    2012.7  IV
DH85    2012.7  V
DH86    2012.1  I
DH87    2012.1  II
DH88    2012.1  III
DH89    2012.1  IV
DH90    2012.1  V
DH91    2013.1  I
DH92    2013.1  II
DH94    2013.1  IV
DH95    2013.1  V
DH96    2013.4  I
DH97    2013.4  II
DH98    2013.4  III
DH99    2013.4  IV
DH100   2013.4  V
DH101   2013.7  I
DH102   2013.7  II
DH103   2013.7  III
DH104   2013.7  IV
DH105   2013.7  V
DHN1    2014.4  I
DHN2    2014.4  II
DHN3    2014.4  III
DHN4    2014.4  IV
DHN5    2014.4  V
DHN11   2014.7  I
DHN12   2014.7  II
DHN13   2014.7  III
DHN14   2014.7  IV
DHN15   2014.7  V
DHN21   2014.11 I
DHN22   2014.11 II
DHN23   2014.11 III
DHN24   2014.11 IV
DHN25   2014.11 V
DHN26   2015.1  I
DHN27   2015.1  II
DHN28   2015.1  III
DHN29   2015.1  IV
DHN30   2015.1  V
