Madagascar	Reunion	Mauritius	Rodrigues	Europa	Grande_Glorieuse	Moheli	Anjouan	Grande_Comore	Juan_de_Nova	Aldabra	Seychelles
0	956.22	1165.05	1771.7	716.04	883.59	855.64	840.34	933.5	488.67	1124.53	1939.99
956.22	0	236.11	838.77	1577.14	1372.32	1593.17	1534.29	1669.44	1421.43	1633.5	1847.94
1165.05	236.11	0	610.35	1807	1466.35	1730.14	1663.83	1803.22	1613.2	1716.09	1772.14
1771.7	838.77	610.35	0	2415.67	1945.21	2260.83	2186.14	2328.11	2206.25	2167.23	1891.82
716.04	1577.14	1807	2415.67	0	1404.36	1170.19	1209.47	1222.29	641.35	1572.51	2577.7
883.59	1372.32	1466.35	1945.21	1404.36	0	399.73	312.22	436.24	779.32	268.25	1208.5
855.64	1593.17	1730.14	2260.83	1170.19	399.73	0	87.74	79.74	534.16	430.12	1571.1
840.34	1534.29	1663.83	2186.14	1209.47	312.22	87.74	0	142.05	568.41	368.63	1492.26
933.5	1669.44	1803.22	2328.11	1222.29	436.24	79.74	142.05	0	593.53	416.32	1573.93
488.67	1421.43	1613.2	2206.25	641.35	779.32	534.16	568.41	593.53	0	931.52	1979.29
1124.53	1633.5	1716.09	2167.23	1572.51	268.25	430.12	368.63	416.32	931.52	0	1163.15
1939.99	1847.94	1772.14	1891.82	2577.7	1208.5	1571.1	1492.26	1573.93	1979.29	1163.15	0
