"Sample","Exclude","Organism","Site","Country","Island","name","colour","clade"
"T-Reu_2367","No","Cratopopsis_alluaudi","Plaine_des_Gregues","France","Reunion Island","T-Reu_2367_Cratopopsis_alluaudi_(Plaine_des_Gregues-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_3153","No","Cratopopsis_alluaudi","Les_Makes","France","Reunion Island","T-Reu_3153_Cratopopsis_alluaudi_(Les_Makes-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_3812","No","Cratopopsis_alluaudi","Sentier_Trophee_Mondial","France","Reunion Island","T-Reu_3812_Cratopopsis_alluaudi_(Sentier_Trophee_Mondial-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_4047","No","Cratopopsis_alluaudi","Les_Makes","France","Reunion Island","T-Reu_4047_Cratopopsis_alluaudi_(Les_Makes-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_4056","No","Cratopopsis_alluaudi","Les_Makes","France","Reunion Island","T-Reu_4056_Cratopopsis_alluaudi_(Les_Makes-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_4057","No","Cratopopsis_alluaudi","Les_Makes","France","Reunion Island","T-Reu_4057_Cratopopsis_alluaudi_(Les_Makes-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_4058","No","Cratopopsis_alluaudi","Les_Makes","France","Reunion Island","T-Reu_4058_Cratopopsis_alluaudi_(Les_Makes-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_4343","No","Cratopopsis_alluaudi","Cap_Blanc","France","Reunion Island","T-Reu_4343_Cratopopsis_alluaudi_(Cap_Blanc-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_4374","No","Cratopopsis_alluaudi","Cap_Blanc","France","Reunion Island","T-Reu_4374_Cratopopsis_alluaudi_(Cap_Blanc-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_4396","No","Cratopopsis_alluaudi","Cap_Blanc","France","Reunion Island","T-Reu_4396_Cratopopsis_alluaudi_(Cap_Blanc-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_4458","No","Cratopopsis_alluaudi","Cap_Blanc","France","Reunion Island","T-Reu_4458_Cratopopsis_alluaudi_(Cap_Blanc-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_81","No","Cratopopsis_alluaudi","Bayonne","France","Reunion Island","T-Reu_81_Cratopopsis_alluaudi_(Bayonne-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_3458","No","Cratopopsis_antiquus","Piton_Mahot","France","Reunion Island","T-Reu_3458_Cratopopsis_antiquus_(Piton_Mahot-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_3459","No","Cratopopsis_antiquus","Piton_Mahot","France","Reunion Island","T-Reu_3459_Cratopopsis_antiquus_(Piton_Mahot-Reunion)","Blue","Reunion Cratopopsis group"
"T-Reu_3460","No","Cratopopsis_antiquus","Piton_Mahot","France","Reunion Island","T-Reu_3460_Cratopopsis_antiquus_(Piton_Mahot-Reunion)","Blue","Reunion Cratopopsis group"
